英文名,中文名,美区价格,港区价格,中文,评分,年份
The Evil Within,恶灵附身,20,154,,73,2014
The Evil Within® 2,恶灵附身2,40,309,中,80,2017
The Forgotten City,遗忘之城,30,234,中,84,2021
The Good Life,美好生活,40,179,中,60,2021
The Gunk,粘液,25,194,中,70,2021
The Last Kids on Earth and the Staff of Doom,地球最后的孩子与毁灭之杖,40,,中,,2021
The Long Dark,漫漫长夜,35,274,中,78,2017
The Outer Worlds,天外世界,60,469,中,78,2019
The Pedestrian,步行者,20,154,中,80,2020
The Procession to Calvary,受难之路,15,114,,79,2020
The Riftbreaker,银河破裂者,30,234,中,80,2021
The Sims™ 4,模拟人生4,20,159,中,70,2014
The Walking Dead: A New Frontier,行尸走肉: 新边境,15,99,中,71,2017
The Walking Dead: Michonne,行尸走肉:米琼恩 完整版,15,99,中,72,2016
The Walking Dead: Season Two,行尸走肉 第二季,15,99,,78,2013
The Walking Dead: The Complete First Season,行尸走肉,15,99,,78,2018
theHunter: Call of the Wild,猎人 荒野的呼唤,30,,,68,2017
This War of Mine: Final Cut,这是我的战争,20,154,中,88,2019
Titanfall® 2,泰坦陨落 2,20,159,中,87,2016
Tom Clancy's Rainbow Six Siege Deluxe Edition,彩虹六号 围攻 豪华版,40,219,中,76,2015
Tom Clancy' s Rainbow Six® Extraction,彩虹六号 异种,40,309,中,72,2022
Totally Accurate Battle Simulator,全面战争模拟器,20,154,中,,2019
Totally Reliable Delivery Service,可靠快递,15,114,中,50,2020
Townscaper,城镇叠叠乐,5,39,中,69,2021
Trailmakers,开拓者,30,234,中,,2019
Train Sim World® 2,火车模拟世界2,30,264,中,79,2020
TRANSFORMERS: BATTLEGROUNDS,变形金刚: 战场,20,154,中,68,2020
Trek to Yomi,黄泉之路,20,154,中,71,2022
Tropico 6,海岛大亨 6,40,309,,78,2019
TUNIC,狐尔达之魂,30,234,中,85,2022
Turnip Boy Commits Tax Evasion,大头菜小子偷税记,15,114,中,73,2021
Twelve Minutes,十二分钟,25,194,中,74,2021
Two Point Hospital™,双点医院,35,238,中,84,2018
UFC® 4,,60,468,中,77,2020
Umurangi Generation Special Edition,摄追赤红末世代 特别版,25,120,中,,2022
Undertale,传说之下,15,114,,93,2015
Undungeon,联合地牢,20,154,,66,2021
Unpacking,拆箱,20,154,中,83,2021
Unravel,毛线小精灵,20,159,,76,2016
Unravel Two,毛线小精灵2,20,159,,80,2018
UNSIGHTED,无视,20,154,中,85,2021
Unsouled,失魂者,20,154,中,,2022
Visage,面容,35,274,中,78,2020
Viva Piñata,皮涅塔万岁,15,118,,84,2006
Viva Piñata: TIP,宝贝万岁 天堂的烦恼,15,118,,82,2008
"Warhammer 40,000: Battlesector",战锤40K: 战区,40,309,中,76,2021
Wasteland 2: Director's Cut,废土2:导演剪辑版,30,,,78,2015
Wasteland 3,废土 3,40,309,,86,2020
Wasteland Remastered,废土 重制版,15,119,,62,2020
We Happy Few,少数幸运儿,60,429,中,63,2018
Weird West,诡野西部,40,309,中,76,2022
What Remains of Edith Finch,艾迪芬奇的记忆,20,119,中,88,2017
Windjammers 2,野外飞盘2,20,154,,77,2022
Wolfenstein: The New Order,重返德军总部 新秩序,20,154,,81,2014
Wolfenstein: The Old Blood,德军总部:旧血脉,20,119,,78,2015
Wolfenstein: Youngblood,德军总部: 新血脉,20,154,,67,2019
Wolfenstein® II: The New Colossus,重返德军总部 2 新巨象,40,314,中,87,2017
World War Z,僵尸世界大战,30,234,中,71,2019
Worms Rumble,百战天虫 大混战,15,108,中,69,2020
Worms W.M.D,百战天虫 战争武器,30,189,,78,2016
Wreckfest,撞车嘉年华,30,234,中,80,2018
Yakuza 3 Remastered,如龙 3 重制版,20,149,中,80,2019
Yakuza 4 Remastered,如龙 4 重制版,20,149,中,77,2019
Yakuza 5 Remastered,如龙 5 重制版,20,149,中,82,2020
Yakuza 6: The Song of Life,如龙 6 生命诗篇,20,149,中,85,2018
Yakuza: Like a Dragon,如龙 7 光与暗的去向,60,398,中,86,2020
"Yes, Your Grace",遵命陛下,20,154,中,74,2020
Young Souls,双子星: 盛气凌人,25,194,中,80,2021
Zero Escape: The Nonary Games,极限脱出 999与善人死亡合集,30,234,,85,2017
Zombie Army 4: Dead War,僵尸部队4:死亡战争,50,389,中,75,2020
Zoo Tycoon: Ultimate Animal Collection,动物园大亨 终极动物合集,20,154,,71,2017
Zuma,祖玛,5,72,中,77,2005
Zuma's Revenge!,祖玛的复仇,5,72,,76,2012
